Instance,BKS,10A,10B,10C,10D,10E,10F,20A,20B,20C,20D,20E,20F,30A,30B,30C,30D,30E,30F
A-n32-k5,784,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801,801
A-n33-k5,661,661,665,661,661,665,665,665,665,664,664,661,661,661,661,661,661,664,664
A-n33-k6,742,744,744,742,744,743,744,743,743,743,743,743,743,743,744,743,743,742,743
A-n34-k5,778,785,785,785,785,785,785,784,784,785,785,785,785,785,785,785,785,785,780
A-n36-k5,799,814,807,813,813,814,813,814,807,813,808,807,813,813,807,813,805,799,807
A-n37-k5,669,685,681,675,670,688,688,688,688,681,682,687,675,688,687,681,678,687,688
A-n37-k6,949,957,967,960,958,960,956,965,958,954,954,956,953,958,957,955,957,953,953
A-n38-k5,730,733,733,733,730,730,730,736,730,730,733,732,730,732,733,730,730,730,730
A-n39-k5,822,838,838,831,827,825,822,822,822,822,822,822,830,830,822,822,822,822,827
A-n39-k6,831,839,839,833,840,835,835,844,838,838,835,839,835,835,838,835,839,835,835
A-n44-k6,937,951,937,956,941,937,947,943,943,946,949,948,948,948,941,948,942,946,943
A-n45-k6,944,966,960,961,963,959,959,961,959,960,960,961,963,963,961,971,959,955,955
A-n45-k7,1146,1183,1177,1176,1176,1174,1162,1185,1169,1167,1163,1164,1158,1175,1161,1172,1154,1163,1172
A-n46-k7,914,932,934,929,915,915,914,933,914,914,914,914,914,926,914,917,915,914,914
A-n48-k7,1073,1112,1119,1110,1078,1103,1099,1097,1105,1107,1074,1096,1107,1109,1103,1106,1099,1105,1102
A-n53-k7,1010,1033,1038,1031,1033,1037,1032,1039,1033,1029,1031,1030,1030,1033,1025,1019,1014,1011,1020
A-n54-k7,1167,1184,1185,1185,1192,1184,1181,1184,1186,1175,1184,1177,1176,1178,1181,1181,1184,1182,1177
A-n55-k9,1073,1110,1079,1079,1079,1083,1073,1079,1078,1076,1082,1073,1073,1079,1081,1073,1078,1078,1073
A-n60-k9,1354,1379,1374,1385,1378,1368,1362,1371,1374,1377,1368,1373,1372,1364,1367,1362,1367,1369,1362
A-n61-k9,1034,1063,1057,1063,1057,1046,1050,1056,1057,1050,1049,1050,1054,1054,1052,1046,1057,1055,1043
A-n62-k8,1288,1334,1319,1322,1324,1328,1317,1328,1334,1329,1322,1320,1325,1331,1320,1321,1322,1326,1316
A-n63-k10,1314,1356,1337,1343,1345,1343,1344,1352,1342,1335,1342,1339,1331,1332,1332,1341,1328,1329,1326
A-n63-k9,1616,1678,1660,1662,1647,1656,1646,1647,1667,1654,1653,1654,1641,1664,1649,1660,1646,1644,1645
A-n64-k9,1401,1430,1449,1428,1428,1436,1435,1443,1427,1431,1436,1433,1432,1428,1428,1441,1433,1434,1430
A-n65-k9,1174,1221,1201,1221,1193,1202,1188,1200,1187,1193,1187,1187,1187,1194,1193,1187,1187,1187,1178
A-n69-k9,1159,1212,1211,1196,1193,1191,1195,1199,1184,1182,1188,1189,1185,1196,1183,1191,1197,1192,1186
A-n80-k10,1763,1827,1824,1804,1815,1801,1808,1828,1805,1806,1796,1815,1789,1818,1805,1813,1799,1805,1804
B-n31-k5,672,674,684,683,672,685,672,676,680,677,685,672,675,680,672,672,672,672,673
B-n34-k5,788,795,797,791,790,790,790,789,789,792,788,790,790,795,791,789,790,789,789
B-n35-k5,955,970,970,970,970,970,970,970,960,970,970,970,970,970,970,970,970,970,970
B-n38-k6,805,820,813,812,808,820,814,820,820,811,811,811,808,818,820,820,820,809,820
B-n39-k5,549,553,561,554,555,553,553,554,554,553,560,554,550,553,553,554,553,553,551
B-n41-k6,829,838,830,834,835,833,830,835,835,834,834,833,830,832,833,831,830,830,830
B-n43-k6,742,744,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742,742
B-n44-k7,909,933,940,937,932,910,914,920,930,920,921,922,933,933,936,922,929,920,928
B-n45-k5,751,779,758,764,764,771,760,759,766,760,764,762,755,766,760,753,761,752,759
B-n45-k6,678,712,712,712,679,712,711,712,712,712,712,679,679,712,712,712,711,711,703
B-n50-k7,741,752,747,747,748,748,747,749,744,744,747,744,743,748,743,748,744,743,747
B-n50-k8,1312,1340,1330,1332,1333,1333,1331,1337,1327,1332,1332,1329,1329,1330,1331,1329,1328,1329,1325
B-n51-k7,1032,1050,1050,1048,1023,1045,1028,1043,1046,1032,1023,1036,1023,1046,1022,1031,1030,1044,1020
B-n52-k7,747,754,755,755,753,751,749,752,751,753,749,750,750,755,750,751,749,749,748
B-n56-k7,707,716,714,714,714,714,713,716,715,715,711,712,711,715,714,713,711,712,711
B-n57-k7,1153,1187,1192,1164,1182,1182,1157,1171,1181,1158,1157,1157,1157,1190,1157,1157,1155,1155,1154
B-n57-k9,1598,1629,1613,1621,1627,1628,1622,1632,1624,1626,1611,1611,1622,1627,1624,1613,1620,1611,1622
B-n63-k10,1496,1570,1573,1567,1567,1566,1567,1564,1554,1564,1553,1545,1559,1567,1552,1562,1565,1543,1561
B-n64-k9,861,902,903,902,909,897,900,898,902,901,899,885,897,898,896,899,887,880,896
B-n66-k9,1316,1340,1336,1340,1327,1340,1332,1326,1335,1331,1332,1328,1328,1341,1330,1332,1331,1331,1326
B-n67-k10,1032,1088,1084,1085,1076,1080,1080,1076,1084,1086,1069,1070,1041,1086,1057,1081,1066,1080,1047
B-n68-k9,1272,1298,1292,1292,1294,1293,1291,1291,1295,1292,1291,1294,1293,1295,1292,1280,1291,1289,1291
B-n78-k10,1221,1262,1266,1265,1263,1262,1256,1262,1262,1261,1256,1256,1256,1266,1264,1258,1260,1255,1257
E-n101-k14,1067,1132,1152,1140,1137,1134,1127,1144,1140,1132,1127,1126,1126,1135,1133,1136,1137,1127,1130
E-n101-k8,815,862,877,857,861,860,844,876,871,854,851,849,853,863,846,851,851,846,849
E-n13-k4,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247
E-n22-k4,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375,375
E-n23-k3,569,570,570,569,570,570,570,570,570,570,570,570,570,569,570,570,570,570,570
E-n30-k3,534,515,508,508,506,503,503,505,503,503,503,503,508,503,506,503,503,503,506
E-n31-k7,379,459,421,407,421,399,399,434,418,396,408,383,404,426,389,395,394,395,391
E-n33-k4,835,846,844,846,844,846,844,844,845,837,844,844,846,846,846,843,842,843,843
E-n51-k5,521,537,522,541,521,521,521,536,522,521,521,521,521,536,521,521,521,521,521
E-n76-k10,830,879,864,864,870,868,870,849,867,877,864,860,861,861,869,862,863,864,859
E-n76-k14,1021,1072,1063,1063,1052,1069,1060,1081,1062,1054,1057,1056,1050,1067,1067,1058,1061,1059,1057
E-n76-k7,682,707,714,716,707,712,710,715,696,707,714,701,707,709,712,707,702,707,705
E-n76-k8,735,780,779,764,771,775,765,773,771,763,761,759,757,774,763,756,755,762,763
F-n135-k7,1162,1201,1206,1203,1193,1200,1199,1204,1192,1189,1197,1189,1193,1195,1200,1196,1197,1197,1181
F-n45-k4,724,735,737,732,732,721,732,736,733,743,738,742,733,721,721,721,737,721,721
F-n72-k4,237,246,239,243,242,242,241,243,242,241,242,241,241,242,242,239,242,243,242
M-n101-k10,820,883,872,877,871,873,874,867,871,860,872,867,852,874,869,858,860,861,858
M-n121-k7,1034,1069,1062,1061,1057,1050,1056,1066,1063,1054,1053,1053,1050,1057,1058,1057,1055,1051,1050
M-n151-k12,1015,1116,1115,1112,1103,1105,1099,1116,1099,1094,1092,1099,1081,1098,1091,1094,1085,1094,1078
M-n200-k16,1274,1392,1389,1414,1401,1391,1374,1386,1394,1403,1382,1377,1379,1402,1392,1379,1385,1378,1371
M-n200-k17,1275,1392,1388,1397,1386,1378,1383,1399,1401,1383,1383,1376,1374,1401,1392,1359,1381,1380,1385
P-n101-k4,681,720,703,703,702,704,708,716,702,701,699,702,697,709,695,697,688,700,686
P-n16-k8,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
P-n19-k2,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
P-n20-k2,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
P-n21-k2,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
P-n22-k2,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
P-n22-k8,603,591,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590
P-n23-k8,529,533,529,529,534,534,534,529,534,529,529,529,529,529,529,529,529,529,529
P-n40-k5,458,469,469,463,466,459,469,469,467,459,463,463,462,465,465,467,459,466,463
P-n45-k5,510,516,512,521,511,511,510,512,516,511,510,511,510,510,510,513,510,511,510
P-n50-k10,696,721,724,711,706,710,711,715,710,710,708,706,703,719,709,704,710,703,707
P-n50-k7,554,568,569,569,565,563,567,573,557,560,559,559,559,556,565,564,564,558,563
P-n50-k8,631,649,647,640,641,641,641,647,647,644,638,645,641,642,637,641,641,639,641
P-n51-k10,741,759,768,755,750,764,765,764,770,753,753,753,755,765,747,745,754,751,756
P-n55-k10,694,709,714,711,704,706,707,710,703,700,700,703,701,702,705,701,708,701,703
P-n55-k15,989,966,959,952,954,960,951,953,951,957,957,949,948,955,951,958,954,951,949
P-n55-k7,568,589,584,583,585,583,579,584,587,577,581,581,579,582,577,581,577,579,579
P-n60-k10,744,775,780,774,769,769,770,773,767,769,766,772,757,767,765,770,757,758,767
P-n60-k15,968,1011,1000,991,976,994,1004,1003,992,998,992,987,995,991,1000,1000,985,985,975
P-n65-k10,792,832,821,828,821,812,811,827,818,818,816,809,811,823,816,818,819,805,812
P-n70-k10,827,856,863,862,862,858,853,868,864,841,848,851,858,858,852,853,846,855,846
P-n76-k4,593,623,619,623,614,611,610,609,606,611,603,602,602,607,607,606,604,606,601
P-n76-k5,627,661,646,647,651,643,640,644,638,640,640,642,633,642,645,641,642,638,630
